customerID,Churn
8050-XGRVL,No
6661-HBGWL,Yes
1518-VOWAV,No
9828-QHFBK,No
3908-MKIMJ,No
5012-YSPJJ,No
5909-ECHUI,No
1309-BXVOQ,No
6728-VOIFY,Yes
9317-WZPGV,Yes
4891-NLUBA,No
2856-HYAPG,Yes
8969-PRHFK,No
0661-KQHNK,No
8709-KRDVL,Yes
4488-PSYCG,No
1427-VERSM,No
9801-NOSHQ,No
6339-YPSAH,Yes
3621-CEOVK,Yes
6906-ANDWJ,Yes
2159-TURXX,No
1548-FEHVL,Yes
3795-CAWEX,No
6215-NQCPY,Yes
5647-URDKA,No
2229-DPMBI,No
9626-WEQRM,No
2188-SXWVT,No
6258-PVZWJ,No
1094-BKOSX,No
6969-MVBAI,Yes
2978-XXSOG,No
2342-CKIAO,No
6953-PBDIN,No
3898-BSJYF,No
3938-YFPXD,No
7696-AMHOD,No
2453-SAFNS,No
9558-IHEZX,No
9617-UDPEU,No
6340-DACFT,No
4955-VCWBI,No
6813-GZQCG,No
7426-GSWPO,Yes
3389-KTRXV,No
3118-UHVVQ,No
1031-IIDEO,Yes
5832-XKAES,Yes
3205-MXZRA,No
4701-AHWMW,No
8317-BVKSO,No
5702-KVQRD,No
0083-PIVIK,No
9210-IAHGH,No
6169-PGNCD,No
0023-XUOPT,Yes
4592-IWTJI,No
4909-JOUPP,No
4657-FWVFY,Yes
2257-BOVXD,No
7729-JTEEC,No
7632-MNYOY,No
6518-LGAOV,No
7242-QZLXF,No
4576-CSAJH,No
1000-AJSLD,No
9696-RMYBA,Yes
8690-UPCZI,No
1062-LHZOD,Yes
9770-LXDBK,No
4086-WITJG,No
8344-WFMFH,No
9600-NAXZN,Yes
8822-KNBHV,No
8404-FYDIB,Yes
2791-SFVEW,No
6457-USBER,Yes
6762-NSODU,No
4662-EKDPQ,No
9248-OJYKK,Yes
9888-ZCUMM,No
3398-FSHON,Yes
3319-DWOEP,Yes
1074-WVEVG,No
9979-RGMZT,Yes
6437-UDQJM,No
1226-IENZN,Yes
2108-GLPQB,No
9259-PACGQ,No
4415-IJZTP,Yes
1465-VINDH,Yes
5474-LAMUQ,No
3468-DRVQJ,No
1122-YJBCS,No
4990-ALDGW,No
4816-OKWNX,No
3315-IKYZQ,No
2810-FTLEM,No
4747-LCAQL,No
3411-WLRSQ,Yes
0898-XCGTF,Yes
8006-PYCSW,No
8249-THVEC,No
8722-PRFDV,No
2164-SOQXL,No
4020-KIUDI,No
5850-BDWCY,No
2038-YSEZE,No
0827-ITJPH,No
8799-OXZMD,No
1925-TIBLE,Yes
1705-GUHPV,No
4779-ZGICK,No
0048-PIHNL,No
0818-OCPZO,Yes
3967-KXAPS,No
1447-GIQMR,Yes
3704-IEAXF,No
6810-VCAEX,No
0674-EYYZV,No
4480-MBMLB,Yes
1395-OFUWC,No
0822-QGCXA,No
0872-NXJYS,Yes
2832-KJCRD,No
3588-WSTTJ,Yes
4075-WKNIU,No
5090-EMGTC,Yes
2346-CZYIL,No
3798-EPWRR,No
6258-NGCNG,No
4186-ZBUEW,No
5274-XHAKY,Yes
1442-BQPVU,No
3978-YNKDD,No
4940-KHCWD,No
9412-ARGBX,No
1389-CXMLU,Yes
9589-ABEPT,Yes
9388-ZEYVT,No
0305-SQECB,No
7605-SNLQG,No
4670-TABXH,No
5561-NWEVX,Yes
0064-SUDOG,No
8561-NMTBD,No
5161-XEUVX,No
8292-FRFZQ,No
8591-NXRCV,No
7895-VONWT,No
4526-RMTLL,No
6253-GNHWH,No
4566-NECEV,Yes
8080-POTJR,No
6906-MPARY,Yes
3662-FXJFO,No
8107-RZLNV,Yes
0516-OOHAR,Yes
2027-CWDNU,Yes
2737-WFVYW,No
9912-OMZDS,Yes
3733-ZEECP,No
7878-RTCZG,No
2452-MRMZF,No
2272-QAGFO,Yes
7103-IPXPJ,Yes
4342-HFXWS,No
3545-CNWRG,Yes
1785-BPHTP,Yes
4989-LIXVT,Yes
7315-WYOAW,Yes
1173-XZPYF,Yes
9850-OWRHQ,Yes
3768-NLUBH,Yes
8676-TRMJS,Yes
2509-TFPJU,No
9530-GRMJG,No
6898-RBTLU,No
5481-NTDOH,No
2068-WWXQZ,No
7359-SSBJK,No
2061-VVFST,No
0685-MLYYM,Yes
0749-IRGQE,No
2380-DAMQP,No
2256-YLYLP,No
1272-ILHFG,No
0164-XAIRP,No
5666-CYCYZ,Yes
4011-ARPHK,No
8182-PNAGI,No
6365-HITVU,No
7558-IMLMT,No
9488-FYQAU,No
3590-TCXTB,No
6994-KERXL,No
7957-RYHQD,Yes
2180-DXNEG,Yes
1960-UOTYM,No
2740-JFBOK,No
6500-JVEGC,No
5515-AKOAJ,Yes
8976-OQHGT,No
5245-VDBUR,No
6230-BSUXY,Yes
8469-SNFFH,No
2144-ESWKO,No
1241-FPMOF,No
9928-BZVLZ,No
4114-QMKVN,No
2775-SEFEE,No
9003-CPATH,Yes
1754-GKYPY,Yes
5294-CDGWY,No
7956-XQWGU,No
1591-MQJTP,No
5295-PCJOO,No
2369-FEVNO,No
9863-JZAIC,No
7471-MQPOS,No
7660-HDPJV,Yes
5115-SQAAU,No
9845-QOMAD,No
7672-VFMXZ,No
9739-JLPQJ,No
9916-AYHTC,No
3855-ONCAR,Yes
1488-SYSFC,No
7931-PXHFC,No
3990-QYKBE,Yes
0970-QXPXW,No
3259-KNMRR,No
6120-RJKLU,No
9572-WUKSB,No
5893-KCLGT,No
0076-LVEPS,No
3640-JQGJG,No
4919-MOAVT,Yes
1596-OQSPS,No
9867-XOBQA,No
9546-KDTRB,No
3090-HAWSU,No
9820-RMCQV,No
3174-RKMOW,No
1760-CAZHT,No
7839-QRKXN,No
8441-SHIPE,No
5204-QZXPU,No
4597-ELFTS,No
1320-GVNHT,No
1047-RNXZV,No
3541-ZNUHK,Yes
8450-JOVAH,No
8725-JEDFD,Yes
7562-UXTPG,Yes
8071-SBTRN,No
1113-IUJYX,No
6668-CNMFP,Yes
5626-MGTUK,Yes
5681-LLOEI,No
8212-DJRCH,No
4323-OHFOW,Yes
4933-BSAIP,No
2030-BTZRO,No
1116-DXXDF,No
9274-CNFMO,Yes
7758-XKCBS,No
8992-JQYUN,No
6563-VNPMN,No
0617-AQNWT,No
2267-WTPYD,Yes
0270-THENM,No
2446-PLQVO,Yes
4707-MAXGU,No
2710-WYVXG,No
3005-NFMTA,Yes
6300-BWMJX,No
8784-CGILN,Yes
5389-FFVKB,Yes
7009-LGECI,No
8444-WRIDW,Yes
5022-KVDQT,Yes
7976-CICYS,No
1036-GUDCL,No
2005-DWQZJ,No
8148-WOCMK,No
7815-PDTHL,No
9451-LPGOO,Yes
9173-IVZVP,No
9129-UXERG,Yes
3635-JBPSG,No
7964-ZRKKG,Yes
5868-YWPDW,Yes
6229-LSCKB,Yes
2025-JKFWI,Yes
4078-SAYYN,Yes
1724-IQWNM,No
8217-QYOHV,No
5546-QUERU,No
9940-HPQPG,No
6897-UUBNU,Yes
6127-IYJOZ,No
6618-RYATB,Yes
8930-XOTDP,No
5916-QEWPT,No
5060-TQUQN,Yes
0531-XBKMM,No
8465-SBRXP,No
2408-PSJVE,No
9079-YEXQJ,No
9700-ZCLOT,No
8738-JOKAR,No
4534-WGCIR,No
1930-WNXSB,Yes
2685-SREOM,Yes
3508-CFVZL,No
0402-CQAJN,Yes
6692-UDPJC,Yes
1273-MTETI,Yes
0657-DOGUM,No
5480-HPRRX,No
8792-AOROI,No
0295-PPHDO,Yes
5146-YYFRZ,No
1195-OIYEJ,Yes
5906-CVLHP,No
3452-SRFEG,Yes
4070-OKWVH,Yes
5297-MDOIR,No
6369-MCAKO,No
4926-UMJZD,No
6848-HJTXY,No
6341-AEVKX,No
4501-EQDRN,Yes
2990-HWIML,Yes
0682-USIXD,Yes
6976-BWGLQ,No
7078-NVFAM,No
8065-QBYTO,No
2133-TSRRM,No
7384-GHBPI,No
7603-USHJS,Yes
7234-FECYN,Yes
2511-ALLCS,No
3191-CSNMG,Yes
7952-OBOYL,No
7470-DYNOE,No
7853-OETYL,No
1545-ACTAS,No
5876-HZVZM,No
1400-MMYXY,Yes
5126-RCXYW,No
3085-QUOZK,No
2363-BJLSL,No
1956-YIFGE,Yes
3926-CUQZX,No
7921-LMDFQ,Yes
2925-MXLSX,No
5820-PTRYM,No
9609-BENEA,No
6211-WHMYA,No
4459-BBGHE,No
9945-PSVIP,No
1041-RXHRA,Yes
1750-CSKKM,No
9108-EJFJP,No
0530-IJVDB,No
0508-SQWPL,No
2215-ZAFGX,Yes
8213-TAZPM,No
7142-HVGBG,Yes
1304-SEGFY,Yes
7242-EDTYC,No
2904-GGUAZ,Yes
8267-ZNYVZ,No
5136-GFPMB,Yes
2595-KIWPV,No
5243-SAOTC,Yes
9398-MMQTO,Yes
7619-PLRLP,No
6457-GIRWB,Yes
6508-NJYRO,No
1450-SKCVI,Yes
4710-NKCAW,No
5306-BVTKJ,No
0357-NVCRI,No
5570-PTWEH,Yes
2371-KFUOG,Yes
0463-ZSDNT,No
6502-MJQAE,Yes
6257-DTAYD,Yes
4616-ULAOA,No
7693-LCKZL,Yes
7746-AWNQW,No
5996-EBTKM,No
2758-RNWXS,No
2314-TNDJQ,No
2405-LBMUW,No
3454-JFUBC,No
0032-PGELS,No
9039-ZVJDC,No
6797-LNAQX,Yes
9013-AQORL,No
2898-MRKPI,Yes
2750-BJLSB,No
3648-GZPHF,No
2075-RMJIK,No
9588-YRFHY,No
6394-MFYNG,Yes
1564-NTYXF,Yes
9364-YKUVW,No
5392-AKEMH,No
2451-YMUXS,No
3914-FDRHP,Yes
3078-ZKNTS,No
1024-KPRBB,Yes
4690-PKDQG,Yes
8155-IBNHG,Yes
0886-QGENL,No
9547-ITEFG,Yes
1264-FUHCX,No
7789-CRUVC,No
6598-KELSS,No
8739-WWKDU,Yes
8685-WHQPW,Yes
4745-LSPLO,No
8083-YTZES,Yes
7240-FQLHE,Yes
6664-FPDAC,No
9972-VAFJJ,No
0422-UXFAP,Yes
1904-WAJAA,No
5130-YPIRV,No
2843-CQMEG,No
6439-PKTRR,No
5351-QESIO,No
0786-VSSUD,No
5568-DMXZS,No
8468-FZTOE,No
6633-SYEUS,No
6447-GORXK,No
6967-PEJLL,No
3976-BWUCK,Yes
5981-ZVXOT,No
1684-FLBGS,No
1389-WNUIB,No
0376-OIWME,Yes
3585-ISXZP,Yes
0218-QNVAS,Yes
6583-QGCSI,Yes
0804-YGEQV,No
7164-BPTUT,No
4174-LPGTI,No
2523-EWWZL,Yes
0928-XUTSN,Yes
2108-XWMPY,No
0052-YNYOT,No
6304-IJFSQ,No
9586-JGQKH,Yes
4501-VCPFK,No
6075-SLNIL,Yes
9347-AERRL,No
0093-XWZFY,Yes
2274-XUATA,No
1980-KXVPM,Yes
7703-ZEKEF,Yes
0723-DRCLG,Yes
5482-NUPNA,No
6691-CCIHA,No
1685-BQULA,Yes
9053-EJUNL,Yes
0666-UXTJO,Yes
1471-GIQKQ,No
