customerID,Churn
8050-XGRVL,NO
6661-HBGWL,YES
1518-VOWAV,NO
9828-QHFBK,NO
3908-MKIMJ,NO
5012-YSPJJ,NO
5909-ECHUI,NO
1309-BXVOQ,YES
6728-VOIFY,NO
9317-WZPGV,YES
4891-NLUBA,NO
2856-HYAPG,YES
8969-PRHFK,NO
0661-KQHNK,NO
8709-KRDVL,YES
4488-PSYCG,NO
1427-VERSM,NO
9801-NOSHQ,NO
6339-YPSAH,YES
3621-CEOVK,YES
6906-ANDWJ,YES
2159-TURXX,NO
1548-FEHVL,NO
3795-CAWEX,NO
6215-NQCPY,YES
5647-URDKA,NO
2229-DPMBI,NO
9626-WEQRM,NO
2188-SXWVT,NO
6258-PVZWJ,NO
1094-BKOSX,NO
6969-MVBAI,YES
2978-XXSOG,NO
2342-CKIAO,NO
6953-PBDIN,NO
3898-BSJYF,NO
3938-YFPXD,NO
7696-AMHOD,NO
2453-SAFNS,NO
9558-IHEZX,NO
9617-UDPEU,NO
6340-DACFT,NO
4955-VCWBI,NO
6813-GZQCG,NO
7426-GSWPO,NO
3389-KTRXV,NO
3118-UHVVQ,NO
1031-IIDEO,YES
5832-XKAES,YES
3205-MXZRA,NO
4701-AHWMW,NO
8317-BVKSO,NO
5702-KVQRD,NO
0083-PIVIK,NO
9210-IAHGH,NO
6169-PGNCD,NO
0023-XUOPT,YES
4592-IWTJI,NO
4909-JOUPP,NO
4657-FWVFY,NO
2257-BOVXD,NO
7729-JTEEC,NO
7632-MNYOY,NO
6518-LGAOV,YES
7242-QZLXF,NO
4576-CSAJH,NO
1000-AJSLD,NO
9696-RMYBA,YES
8690-UPCZI,NO
1062-LHZOD,YES
9770-LXDBK,NO
4086-WITJG,NO
8344-WFMFH,NO
9600-NAXZN,NO
8822-KNBHV,NO
8404-FYDIB,NO
2791-SFVEW,NO
6457-USBER,YES
6762-NSODU,NO
4662-EKDPQ,NO
9248-OJYKK,YES
9888-ZCUMM,NO
3398-FSHON,YES
3319-DWOEP,YES
1074-WVEVG,NO
9979-RGMZT,YES
6437-UDQJM,NO
1226-IENZN,YES
2108-GLPQB,NO
9259-PACGQ,NO
4415-IJZTP,YES
1465-VINDH,YES
5474-LAMUQ,NO
3468-DRVQJ,NO
1122-YJBCS,NO
4990-ALDGW,NO
4816-OKWNX,NO
3315-IKYZQ,NO
2810-FTLEM,NO
4747-LCAQL,NO
3411-WLRSQ,YES
0898-XCGTF,NO
8006-PYCSW,NO
8249-THVEC,NO
8722-PRFDV,NO
2164-SOQXL,NO
4020-KIUDI,NO
5850-BDWCY,NO
2038-YSEZE,NO
0827-ITJPH,NO
8799-OXZMD,NO
1925-TIBLE,YES
1705-GUHPV,NO
4779-ZGICK,NO
0048-PIHNL,NO
0818-OCPZO,YES
3967-KXAPS,NO
1447-GIQMR,YES
3704-IEAXF,NO
6810-VCAEX,NO
0674-EYYZV,NO
4480-MBMLB,NO
1395-OFUWC,NO
0822-QGCXA,NO
0872-NXJYS,YES
2832-KJCRD,NO
3588-WSTTJ,YES
5090-EMGTC,NO
2346-CZYIL,NO
3798-EPWRR,NO
6258-NGCNG,NO
4186-ZBUEW,NO
5274-XHAKY,NO
1442-BQPVU,NO
3978-YNKDD,NO
4940-KHCWD,NO
9412-ARGBX,NO
1389-CXMLU,YES
9589-ABEPT,NO
9388-ZEYVT,NO
0305-SQECB,NO
7605-SNLQG,NO
4670-TABXH,NO
5561-NWEVX,YES
0064-SUDOG,NO
8561-NMTBD,NO
5161-XEUVX,NO
8292-FRFZQ,NO
8591-NXRCV,NO
7895-VONWT,NO
4526-RMTLL,NO
6253-GNHWH,NO
4566-NECEV,YES
8080-POTJR,NO
6906-MPARY,NO
3662-FXJFO,NO
8107-RZLNV,NO
0516-OOHAR,NO
2027-CWDNU,YES
2737-WFVYW,YES
9912-OMZDS,NO
3733-ZEECP,NO
7878-RTCZG,NO
2452-MRMZF,NO
2272-QAGFO,YES
7103-IPXPJ,NO
4342-HFXWS,NO
3545-CNWRG,NO
1785-BPHTP,NO
4989-LIXVT,NO
7315-WYOAW,YES
1173-XZPYF,YES
9850-OWRHQ,YES
3768-NLUBH,NO
8676-TRMJS,YES
2509-TFPJU,NO
9530-GRMJG,NO
6898-RBTLU,NO
5481-NTDOH,NO
2068-WWXQZ,NO
7359-SSBJK,NO
2061-VVFST,NO
0685-MLYYM,YES
0749-IRGQE,NO
2380-DAMQP,NO
2256-YLYLP,NO
1272-ILHFG,NO
0164-XAIRP,NO
5666-CYCYZ,YES
4011-ARPHK,NO
8182-PNAGI,NO
6365-HITVU,NO
7558-IMLMT,NO
9488-FYQAU,NO
3590-TCXTB,NO
6994-KERXL,NO
7957-RYHQD,NO
2180-DXNEG,YES
1960-UOTYM,NO
2740-JFBOK,NO
6500-JVEGC,NO
5515-AKOAJ,NO
8976-OQHGT,NO
5245-VDBUR,NO
6230-BSUXY,YES
8469-SNFFH,NO
2144-ESWKO,NO
1241-FPMOF,NO
9928-BZVLZ,NO
4114-QMKVN,NO
9003-CPATH,NO
1754-GKYPY,YES
5294-CDGWY,NO
7956-XQWGU,NO
1591-MQJTP,NO
5295-PCJOO,NO
2369-FEVNO,NO
9863-JZAIC,NO
7471-MQPOS,NO
7660-HDPJV,YES
5115-SQAAU,NO
9845-QOMAD,NO
7672-VFMXZ,NO
9739-JLPQJ,NO
9916-AYHTC,NO
3855-ONCAR,YES
1488-SYSFC,NO
7931-PXHFC,NO
3990-QYKBE,YES
0970-QXPXW,NO
3259-KNMRR,NO
6120-RJKLU,NO
9572-WUKSB,NO
5893-KCLGT,NO
0076-LVEPS,NO
3640-JQGJG,NO
4919-MOAVT,NO
1596-OQSPS,NO
9867-XOBQA,NO
9546-KDTRB,NO
3090-HAWSU,NO
9820-RMCQV,NO
3174-RKMOW,YES
1760-CAZHT,NO
7839-QRKXN,NO
8441-SHIPE,NO
5204-QZXPU,NO
4597-ELFTS,NO
1320-GVNHT,NO
1047-RNXZV,NO
3541-ZNUHK,NO
8450-JOVAH,NO
8725-JEDFD,NO
7562-UXTPG,NO
8071-SBTRN,NO
1113-IUJYX,NO
6668-CNMFP,NO
5626-MGTUK,YES
5681-LLOEI,NO
8212-DJRCH,YES
4323-OHFOW,NO
4933-BSAIP,NO
2030-BTZRO,NO
1116-DXXDF,NO
9274-CNFMO,YES
7758-XKCBS,NO
8992-JQYUN,YES
6563-VNPMN,NO
0617-AQNWT,NO
2267-WTPYD,NO
0270-THENM,NO
2446-PLQVO,YES
4707-MAXGU,NO
2710-WYVXG,NO
3005-NFMTA,NO
6300-BWMJX,NO
8784-CGILN,YES
5389-FFVKB,NO
7009-LGECI,NO
8444-WRIDW,NO
5022-KVDQT,NO
7976-CICYS,NO
1036-GUDCL,NO
2005-DWQZJ,NO
8148-WOCMK,NO
7815-PDTHL,NO
9451-LPGOO,YES
9173-IVZVP,NO
9129-UXERG,YES
3635-JBPSG,NO
7964-ZRKKG,NO
5868-YWPDW,YES
6229-LSCKB,YES
2025-JKFWI,YES
4078-SAYYN,YES
1724-IQWNM,NO
8217-QYOHV,NO
5546-QUERU,NO
9940-HPQPG,NO
6897-UUBNU,NO
6127-IYJOZ,YES
6618-RYATB,YES
8930-XOTDP,NO
5916-QEWPT,NO
5060-TQUQN,NO
0531-XBKMM,NO
8465-SBRXP,NO
2408-PSJVE,NO
9079-YEXQJ,NO
9700-ZCLOT,NO
8738-JOKAR,NO
4534-WGCIR,NO
1930-WNXSB,NO
2685-SREOM,YES
3508-CFVZL,NO
0402-CQAJN,NO
6692-UDPJC,YES
1273-MTETI,YES
0657-DOGUM,NO
5480-HPRRX,NO
8792-AOROI,NO
0295-PPHDO,YES
5146-YYFRZ,NO
1195-OIYEJ,YES
5906-CVLHP,NO
3452-SRFEG,NO
4070-OKWVH,NO
5297-MDOIR,NO
6369-MCAKO,NO
4926-UMJZD,NO
6848-HJTXY,NO
6341-AEVKX,NO
4501-EQDRN,YES
2990-HWIML,YES
0682-USIXD,YES
6976-BWGLQ,NO
7078-NVFAM,NO
8065-QBYTO,NO
2133-TSRRM,NO
7384-GHBPI,NO
7603-USHJS,YES
7234-FECYN,YES
2511-ALLCS,NO
3191-CSNMG,YES
7952-OBOYL,YES
7470-DYNOE,NO
7853-OETYL,NO
1545-ACTAS,NO
5876-HZVZM,NO
1400-MMYXY,YES
5126-RCXYW,NO
3085-QUOZK,NO
2363-BJLSL,NO
1956-YIFGE,NO
3926-CUQZX,NO
7921-LMDFQ,NO
2925-MXLSX,NO
5820-PTRYM,NO
9609-BENEA,NO
6211-WHMYA,NO
4459-BBGHE,NO
9945-PSVIP,NO
1041-RXHRA,NO
1750-CSKKM,NO
9108-EJFJP,NO
0530-IJVDB,NO
0508-SQWPL,NO
2215-ZAFGX,YES
8213-TAZPM,NO
7142-HVGBG,YES
1304-SEGFY,NO
7242-EDTYC,NO
2904-GGUAZ,NO
8267-ZNYVZ,NO
5136-GFPMB,NO
2595-KIWPV,NO
5243-SAOTC,NO
9398-MMQTO,NO
7619-PLRLP,NO
6457-GIRWB,YES
6508-NJYRO,NO
1450-SKCVI,NO
4710-NKCAW,NO
5306-BVTKJ,NO
0357-NVCRI,NO
5570-PTWEH,YES
2371-KFUOG,NO
0463-ZSDNT,NO
6502-MJQAE,YES
6257-DTAYD,NO
4616-ULAOA,NO
7693-LCKZL,YES
7746-AWNQW,NO
5996-EBTKM,NO
2758-RNWXS,NO
2314-TNDJQ,NO
2405-LBMUW,NO
3454-JFUBC,NO
0032-PGELS,NO
9039-ZVJDC,NO
6797-LNAQX,NO
9013-AQORL,NO
2898-MRKPI,NO
2750-BJLSB,NO
3648-GZPHF,NO
2075-RMJIK,NO
9588-YRFHY,NO
6394-MFYNG,NO
1564-NTYXF,YES
9364-YKUVW,NO
5392-AKEMH,NO
2451-YMUXS,NO
3914-FDRHP,YES
3078-ZKNTS,NO
1024-KPRBB,NO
4690-PKDQG,NO
8155-IBNHG,NO
0886-QGENL,YES
9547-ITEFG,YES
1264-FUHCX,NO
7789-CRUVC,NO
6598-KELSS,NO
8739-WWKDU,YES
8685-WHQPW,YES
4745-LSPLO,NO
8083-YTZES,YES
7240-FQLHE,YES
6664-FPDAC,NO
9972-VAFJJ,NO
0422-UXFAP,NO
1904-WAJAA,NO
5130-YPIRV,NO
2843-CQMEG,NO
6439-PKTRR,NO
5351-QESIO,NO
0786-VSSUD,NO
5568-DMXZS,NO
8468-FZTOE,NO
6633-SYEUS,NO
6447-GORXK,NO
6967-PEJLL,NO
3976-BWUCK,NO
5981-ZVXOT,NO
1684-FLBGS,NO
1389-WNUIB,NO
0376-OIWME,NO
3585-ISXZP,YES
0218-QNVAS,NO
6583-QGCSI,NO
0804-YGEQV,NO
7164-BPTUT,NO
4174-LPGTI,NO
2523-EWWZL,NO
0928-XUTSN,YES
2108-XWMPY,NO
0052-YNYOT,NO
6304-IJFSQ,NO
9586-JGQKH,NO
4501-VCPFK,NO
6075-SLNIL,NO
9347-AERRL,NO
