Month,Caseship,Conpacks,DealAl,
Jan-83,,0,396776,
Feb-83,,0,152296,
Mar-83,,0,157640,
Apr-83,,0,246064,
May-83,,15012,335716,
Jun-83,,62337,326312,
Jul-83,,4022,263284,
Aug-83,,3130,488676,
Sep-83,,422,33928,
Oct-83,,0,224028,
Nov-83,,0,304004,
Dec-83,,0,325872,
Jan-84,425075,75253,457732,
Feb-84,315305,15036,254396,
Mar-84,367286,134440,259952,
Apr-84,429432,119740,267368,
May-84,347874,135590,158504,
Jun-84,435529,189639,430012,
Jul-84,299403,9308,388516,
Aug-84,296505,41099,225616,
Sep-84,426701,9391,1042304,
Oct-84,329722,942,974092,
Nov-84,281783,1818,301892,
Dec-84,166391,672,76148,
Jan-85,629402,548704,0,
Feb-85,263467,52818,315196,
Mar-85,398320,2793,703624,
Apr-85,376569,27749,198464,
May-85,444404,21887,478880,
Jun-85,386986,1110,457172,
Jul-85,414314,436,709480,
Aug-85,253493,1407,45380,
Sep-85,484365,376650,28080,
Oct-85,305989,122906,111520,
Nov-85,315407,15138,267200,
Dec-85,182784,5532,354304,
Jan-86,655748,544807,664712,
Feb-86,270483,43708,536824,
Mar-86,365058,5740,551560,
Apr-86,313135,9614,150080,
May-86,528210,1507,580800,
Jun-86,379856,13620,435080,
Jul-86,472058,101179,361144,
Aug-86,254516,80309,97844,
Sep-86,551354,335768,30372,
Oct-86,335826,91710,150324,
Nov-86,320408,9856,293044,
Dec-86,276901,107172,162788,
Jan-87,455136,299781,32532,
Feb-87,247570,21218,23468,
Mar-87,622204,157,4503456,
Apr-87,429331,12961,500904,
May-87,453156,333529,0,
Jun-87,320103,178105,0,
Jul-87,451779,315564,46104,
Aug-87,249482,80206,92252,
Sep-87,744583,5940,4869952,
Oct-87,421186,36819,376556,
Nov-87,397367,234562,376556,
Dec-87,269096,71881,552536,
