Row No.,Date,Stock Performance,News
1,Tue Sep 19 00:00:00 CST 2017,0,"'Summary: With so many great iPhone choices this fall, the iPhone 8 is the best model... to avoid. WSJ Personal Tech columnist Geoffrey A. Fowler puts its new wireless charging, camera and more to the test vs. the less expensive iPhone 7. ??'"
2,Tue Sep 19 00:00:00 CST 2017,0,"'The iPhone 8 reminds me of the fifth Transformers movie??you know it's new, though you can't for the life of you figure out how it's different. On its face, the 8 looks like an iPhone from 2014. And like another sequel, the best thing about the iPhone 8 is that it's entirely avoidable. Normally, iPhone owners have one decision to make: Is it an upgrade year or not? But this fall, you have real options. Apple's selling the $700 iPhone 8, the jumbo $800 iPhone 8 Plus and the totally redesigned $1,000 iPhone X, not to mention five older (and cheaper) iPhones. If you follow the Goldilocks Principle, an iPhone 8 might seem like a sensible choice. It has a new camera and processor, yet doesn't cost quite as much as the fancy-pants X. But let's stop taking electronics advice from a girl who robs bears. Putting the iPhone 8 through its paces for the past week, I learned Apple should have called it the iPhone 7s. (The company skipped the """" model this year, calling it a ""new generation."") The iPhone 8 is a good smartphone, but only a slight improvement, mostly in the camera department. Let me propose a different iPhone purchasing strategy: * If you need to have the latest and greatest, don't buy the 8. Wait until we get a closer look at the iPhone X, which in addition to face-scanning tricks promises two things that really matter: a bigger, better screen and two more hours of battery life. * If you can't be bothered with bells and whistles, you can save a chunk of cheese by buying a nearly-as-good iPhone 7 (albeit with less storage) for $550. Or you can save even more by getting one of the Android phones that no longer lag behind Apple in refinement, like the $480 OnePlus 5. Because of Apple's staggered rollout, I haven't had opportunity to test the iPhone X. But for anyone considering buying an iPhone 8, here is how it measures against a trusty iPhone 7. Glass Back From the front, it's harder to tell the difference between the 7 and 8 than to ID an Olsen twin. But look on the back, and you will see it's made of glass rather than metal. The glass might remind you of the iPhone 4, one of the most iconic Apple designs. But I'm not sold. The iPhone 7's glossy black finish gives it a contiguous surface, like a pebble smoothed by the ocean. The iPhone 8 shows seams where the glass touches the aluminum band, making it feel a little like a knockoff. And there's no denying it looks dated compared with the curved glass on rival Samsung's Galaxy S8 ($720), which takes the screen all the way to the edge. Apple says it is the hardest glass it has ever put in an iPhone, but I still worry about cracking. I have accidentally dropped the 8 on wood twice without problem. Fingers crossed! (Even with the extra risk, it still doesn't make economic sense to buy an AppleCare Plus extended warranty.) Wireless Charging There is a practical reason for the glass: It enables the 8's standout new capability, wireless charging. No, you can't beam power to it from across the room. You have to place it on a Qi-compatible charging pad, sold separately for $40 and up. It works??just OK. While convenient, it isn't fast. The $60 Mophie brand pad I tested required me to put the phone in just the right spot. One time, I plopped it down and later found my battery almost depleted because the phone was sitting slightly off-center. Apple's working on improving that with a new design, but it won't arrive until next year. I have long criticized Apple for not embracing wireless charging. Hopefully, now that it has, the tech will become more widely available. Another new option is ""ast charging,"" which powers up the phone 50% in 30 minutes. The catch is, to do it, Apple recommends its 29W USB-C charger ($50) and a USB-C-to-Lightning cable ($25). How about battery life? Apple claims there is no improvement. In my stress tests versus the iPhone 7, I squeezed about 15 more minutes out of the 8_x0014_for a total of 10 and three quarters hours. The 8 Plus lasted about 11 hours. I'll take every battery improvement I can get, but none of this will rock your world. New Cameras Perhaps you spotted me last weekend running around San Francisco taking the same photo on four different phones: the dual-camera 8 Plus, 7 Plus and Samsung Note 8 as well as Google's older single-camera Pixel XL. Some 1,500 shots later, I preferred most of the ones from the rear iPhone 8 Plus camera, which is similar (though not exactly the same) to the one on the iPhone X. A larger, faster, sensor and new processing helps the iPhone 8 capture more saturation and contrast_x0014_sunsets are less hazy and faces look sharper. In low-light situations, it retains more detail than the Note 8. It was as if all the shots had been given a boost in Instagram. And while I have avoided using the flash on past iPhones, the 8's was smart enough to actually improve my shots. But you will have to look closely. There has been no resolution change_x0014_still 12 megapixels. And I didn't find any shocking improvements like I saw in low-light performance we got in the iPhone 7. (See additional example shots of Steve Jobs Theater, a cable car, a mural in bright sun and a flash in a dim room.) The one trick that you can only get on the 8 Plus is a new Portrait Lighting mode, where the phone's second camera collects depth data used to create dramatic effects. I don't find it as useful as the Portrait mode that artfully blurs out backgrounds??and is already available on the iPhone 7 Plus. Faster Processor I'll spare you the details about the iPhone 8's 6-core A11 Bionic CPU, which it shares with the iPhone X. Just know this: In some benchmarks, it scores as well as Mac laptops. What can you do with a phone that fast? Those new camera tricks, plus hig'"
3,Tue Sep 19 00:00:00 CST 2017,0,"'Did Apple's latest iPhone announcement move Taiwan's currency? The new Taiwan dollar fell 0.2% against the U.S. dollar last week, its biggest weekly decline in a month. The currency dropped 0.2% on Thursday alone, its largest daily drop ??'"
4,Tue Sep 19 00:00:00 CST 2017,0,"'Little noticed amid the hype around the newest iPhones is the boon that the new wave of fancy phones means for the makers of memory chips inside. Apple's new iPhone 8 and 8 Plus models hit stores on Friday. The iPhone X, with a bigger, sharper display and no home button, goes on sale in early November. That phone sets a record with a starting price tag of $999, while the other models sell for $200-$300 less. But all are offering a fairly sizable boost in memory and storage over previous iPhone iterations, a necessity given the demands of newer processors along with Apple's business need to sell more content and services per device. On storage, Apple has effectively doubled up on the previous iPhone generation. The lowest configuration available on the new models is now 64GB compared with 32GB in the iPhone 7. The more spacious option has doubled to 256GB. System memory is also getting a boost. The iPhone X and 8 Plus models both come with 3GB of DRAM, according to an estimate from Cowen & Co. That DRAM count was previously only available on the iPhone 7 Plus. Apple has been steadily raising the amount of DRAM per phone over the past few years, as the company's core central processors have become more robust. Two years ago, most iPhones had only 1GB of DRAM or less. Other smartphone makers have been following the same track, some of which pack in far more memory in their phones than Apple. New top-of-the-line devices from Samsung Electronics and LG use 6GB of DRAM. That all adds up to good news for SK Hynix, Micron and Toshiba, along with Samsung's chip division. Memory prices have been on a steady rise since last year, as demand continues to outstrip supply. Spot prices for the most common type of DRAM in September were up more than 90% from the same point last year, with NAND Flash prices up 50% in that time, according to DRAMeXchange. That explains in part why Apple, which needs to maintain its famously high margins, has boosted prices in this latest iPhone generation. That means the price increases are unlikely to raise the company's overall profits. A small bummer for shareholders, but Apple has little choice but to play the right chips to stay in the game. '"
5,Tue Sep 19 00:00:00 CST 2017,0,"'NEW DELHI??Alphabet Inc.'s Google is aiming for a piece of India's booming??but increasingly crowded??mobile-payments business. The Mountain View, Calif., tech giant on Monday launched its first-ever smartphone app that lets users transfer money to individuals and businesses in the country without the use of a credit or a debit card, a crucial factor since many here lack plastic. Millions of Indian consumers have been ditching bills in favor of mobile-payments apps after Prime Minister Narendra Modi's government made its surprise move last year to take 86% of currency out of circulation in an effort to curb corruption and bring more people into the tax net. The move triggered a cash crunch. ""ia will leapfrog markets like the U.S. and Europe"" in terms of adoption of mobile payments, Caesar Sengupta, a Google vice president, told the media in New Delhi. Services such as Apple Inc.'s Apple Pay and Samsung Electronics Co.'s Samsung Pay are increasingly popular in some developed countries. But they face competition from widely used credit cards and haven't really taken hold in emerging markets. Google's app, called Tez, lets Android and Apple users send money from their bank accounts or receive it via a simple interface that resembles a chat app and works in seven Indian languages. The app's launch is Google's latest move to customize products for India's nascent internet economy, which analysts say it wants to tap to ramp up advertising revenue globally. The firm has joined with the Indian government to provide free Wi-Fi at railway stations and has released special apps for the market, such as a version of YouTube that works even with patchy internet connections. ""Google is late on this thing but they can easily scale it up,"" said Tarun Pathak, an analyst at research firm Counterpoint. Some 96% of smartphone users in India are on Google's Android mobile-operating system, he said, and the service could grow quickly if users flock to it. While Google says it isn't charging users or merchants for the service, Mr. Pathak said Google could one day use it to collect data for advertising purposes. Google declined to say if it has plans to bring the app to additional emerging countries, like Indonesia and Brazil, but said it holds promise for such markets. Google's new app faces some serious rivals. India's market leader, Paytm, boasts more than 225 million users and in May raised $1.4 billion from Japan's SoftBank Group Corp., which it is using to fuel its expansion. India's biggest local messaging app, Hike, in June launched a mobile-payments feature, while Facebook Inc.'s WhatsApp??which has some 200 million users in India??is exploring adding digital payments in India. "" see our primary competitor as cash,"" said Google Vice President Diana Layfield, stressing that the company views mobile payments as being in their infancy in India. Mr. Sengupta said Tez, which means ""fast"" in Hindi, has already attracted about 50,000 users in recent days ahead of its official launch. iit o'"
6,Mon Sep 18 00:00:00 CST 2017,0,"'Thorstein Veblen was a cranky Norwegian-born economist who coined the phrase ""conspicuous consumption"" and theorized that certain products could defy the economic laws of gravity by stoking more demand with superhigh prices. His 1899 book, ""Theory of the Leisure Class,"" made him famous in his time and more than a century later his ideas are embodied in products like Hermes handbags, Bugatti cars and Patek Philippe watches. Now Apple and Samsung are testing whether the social commentator's theory on what has come to be known as the ""Veblen good"" can work for one of the most common of all consumer products -- the phone. The gambit is striking because prices tend to fall in technology and products become obsolete fast. In this case, though, it just might work in its own way. Typically, raising the price of a good lowers demand for it. If beef becomes too expensive, people will buy more chicken. Mr. Veblen's theory posits that some consumers want a product even more when the price rises because the expense broadcasts status, taste and wealth. By unveiling the new iPhone X last week with a price of $1,000, Apple Inc. is pushing the envelope even further than Samsung Electronics Co., which unveiled the $950 Note 8 phone this year. Rather than trying to attract consumers with cheaper prices, the companies are fighting for customers with expensive price tags. The starting price of the new flagship iPhone X is about 50% more than the $650 starting price of last year's iPhone 7. The most expensive version of the iPhone X, with 256 gigabytes of storage, will cost 19% more than last year's most expensive device, the iPhone 7 Plus, with the same memory. Apple and Samsung have found themselves here partly by necessity. Smartphone makers are running out of new customers. Data from IHS Markit estimates there are just under 100 smartphones per 100 people in the U.S. and about 92 smartphones per 100 people in Europe. (Many people own more than one phone.) By 2020, there will be about 84 smartphones per 100 people globally, IHS projects. To generate more revenue the big smartphone makers increasingly need to push on price. ""They can create a superpremium model and perception of superpremium that pushes those buyer types into the stratosphere,"" said Steven Haines, chief executive of Sequent Learning Networks, which advises companies on product management. ""This is classic product management."" Such segmentation is normal in mature industries, said Mr. Haines, comparing smartphones to what happened with the auto industry, where luxury cars with high prices became a status symbol as car ownership became commonplace. Apple has made the case that the technology in its new phone justifies the price. Chief Executive Tim Cook said the iPhone X will feature ""more powerful technologies than we've ever put in an iPhone before."" That includes a host of new components and features, including a 5.8-inch organic light-emitting diode display, a depth-sensing camera system for facial recognition, and gyroscopes and accelerometers for augmented reality -- a platform that puts virtual images of items like an IKEA sofa onto the smartphone screen so users can see how it would look in a living room. The components cost an estimated $581, up from $248 for iPhone 7 components, according to Susquehanna International Group. The gap suggests Apple's profit margins on the new device are slimmer than on existing lines. Still, conspicuous consumption appears to be a growing factor in the economics of smartphones. The market research group NPD, which tracks sales of new iPhones, finds spikes in sales volumes when new phones are launched. The biggest spikes came for iPhones that were the most visibly distinct, such as 2014's iPhone 6, the model in which Apple changed the shape, enlarged the device and raised prices by $100. The iPhone 6 ""made it obvious, even at a quick glance, which consumers had the latest and greatest device when they pulled out their phone to check an email or answer a call,"" wrote Eddie Hold, the president of Connected Intelligence, a group at NPD that studies mobile technology. ""You talk to people, and you hear this lust for a product,"" said Horace Dediu, an industry analyst at Asymco and a former Nokia Corp. business development executive. ""Technology has risen in our lives to become a reflection of us."" Still, Mr. Dediu said the iPhone X isn't a pure example of Veblen's theory because demand will be driven by the device's functionality, not simply price. While some new iPhones that look different will be bought to show off, he doesn't think anyone is sitting inside the company's headquarters thinking: How do we create that phenomenon? ""They're focused on making the best phone in the world,"" Mr. Dediu said. Putting out an iPhone 8 and an iPhone X at the same time suggests Apple is trying to create a prestige factor, said Elizabeth Currid-Halkett, a professor at the University of Southern California who studies consumer culture. ""They're clearly trying to demarcate the iPhone X from the other versions, and surely there's a desire to make it a status good,"" she said, noting that the iPhone X doesn't appear to offer significantly greater utility to most consumers than the other iterations of the iPhone. ""Are you getting some extra utility out of this good?"" said Ms. Currid-Halkett. ""I think the answer is no. I don't think a new animated emoji is better functionality. But it's cool."" '"
7,Mon Sep 18 00:00:00 CST 2017,0,"'The Must Reads are part of the Journal??s Morning MoneyBeat newsletter. To receive the newsletter via email, click here. ??We??ve Been Breached??: Inside the Equifax Hack: The crisis has sent shock waves through the industry, spooked consumers ??'"
8,Mon Sep 18 00:00:00 CST 2017,0,"'The big letdown from Apple's product announcement last Tuesday was news that its most desirable new gadget, the iPhone X, can't be preordered until late October and won't start shipping until November. Even then, analysts are predicting supply shortages. Dealers in Hong Kong expect to sell the phones at a $300 to $400 premium in the first weeks they are available. Shortages of hot new gadgets are so common, it is easy to take them for granted. This past year alone, Google's Pixel phone, Nintendo's Switch and classic gaming-system reboot, and even Apple's iPhone 7 Plus have been thin on the ground. You would think after years of hard-won experience, tech hardware companies could deliver goods when and where there is demand -- especially at Applewhose chief executive, Tim Cook, made his name as an operations maestro. Are these shortages some kind of Machiavellian marketing play? Calculated risk management? Or is it the case that manufacturing millions of complex electronic gadgets, and distributing them globally, is really hard? It is likely a bit of all of these. Companies often force early adopters to wait. This is because of the increasingly important preorder period, says Asokan Ashok, who was at Samsung Research America from 2009 to 2015, most recently as the director of emerging products and services, and saw many of Samsung's flagship products go from the lab to the consumer. He says the preorder mechanism, where customers signal their intent to buy a product before it starts shipping, provides early data that is essential to predicting demand for a gadget and distribution of demand across its various configurations -- both notoriously difficult to forecast. The calculus gets trickier when the device's price hits a new high and the company has no precedent to gauge demand, says Mr. Ashok, now chief executive of mobile software startup UnfoldLabs. That is certainly the case with the $999 iPhone X. Apple has ""never gone there before,"" he says. Apple may well be facing its biggest demand-forecasting challenge since the original iPhone. While Apple has empirical data on demand for new iPhones, it is harder to know what proportion of orders will be for the iPhone X versus its somewhat less pricey new siblings, the iPhone 8 and 8 Plus. In addition, many analysts are predicting this could be a ""super cycle"" of upgraders who have been holding out for a complete redesign -- leading to a sales surge such as the one caused by the 2014 launch of the iPhone 6. One reason forecasting demand matters so much is the rise in just-in-time manufacturing. Producing millions of phones means coordinating a symphony of component manufacturers, all delivering parts on demand. These partners can't risk unsold inventory eating into their already razor-thin profit margins. The result is that electronics tend to ship directly from factory to retailer. Asked about production delays for the iPhone X, a spokeswoman for Apple said only that the November ship date was reflected in financial estimates Apple gave in July. One of the biggest challenges top-tier manufacturers face in delivering product on time is their own exacting standards, says Mr. Ashok. Apple is notorious for changing small but important details of its final hardware designs more or less at the last minute. That perfectionism isn't unwarranted, because hardware can't be revised once it's in the hands of the consumer, and the cost of recalls, such as Samsung's Galaxy Note 7 battery-fire fiasco, can be enormous. Even relocating a single screw can have consequences for the dimensions, placement and performance of dozens of other components, says Chetan Sharma, a mobile-industry consultant. Details like this can be worked out in advance given enough time, but in the cutthroat mobile industry, time is something even Apple doesn't have. When a company brings in new technology -- such as the iPhone X's OLED display, not seen in any previous iPhone -- the headaches multiply. ""Yield"" is the percentage of a batch of components that meets production standards. Yield is the enemy of first-time technologies, says Wayne Lam, the principal analyst for smartphone electronics at IHS Markit. ""On the original iPhone, yield rates for capacitive touch [screens] were like 80% because it was new technology,"" says Mr. Lam. Throwing out one in five displays means absorbing a huge cost, he adds. (Apple's touch-screen yields have since risen, he says.) Sometimes, a component is scarce at any price. Nearly every smart gadget you can name contains NAND memory, which retains data when powered off. This key component has lately faced a global supply crunch. ""It's sort of like OPEC,"" Mr. Lam says. Just as refineries will contract with oil companies years in advance, giants such as Apple will make deals for enormous quantities of NAND memory, squeezing out smaller competitors. Even Apple can't get around what may be the most critical bottleneck for the iPhone X. At present, analysts say, only one conglomerate can manufacture that OLED screen -- and it is Apple's biggest smartphone competitor. Granted, Samsung Electronics' visual display business is separate from its mobile business, but Apple appears to be trying to bring in other partners to make OLED displays, including Japan Display and LG Display. Manufacturing smartphones is so complicated, it's a minor miracle they get to us at all. Companies control whatever they can by pre-announcing products, collecting preorders, stoking demand and, when necessary, managing expectations. They even ponder how much scarcity may increase desire -- so that when the product does arrive, weeks or even months later, it feels like it was worth the wait. '"
9,Fri Sep 15 00:00:00 CST 2017,1,"'It was the anticipation of nagging that led Christy Spitler to spy on her parents. The 21-year-old University of Alabama senior was home on break in Maryville, Tenn., when her parents left for a July weekend, telling her to keep the house clean. Instead, ""I left dishes out, and I would just leave my clothes on the floor,"" she says. No worries -- she was tracking her parents on an iPhone app that showed their whereabouts on a map. An hour before the app suggested they would return, she vacuumed, did the dishes and mopped. Otherwise, ""I really just sat around and watched Netflix and YouTube the whole weekend."" Parents have always snooped on their children, and smartphones have given them a new way to do it. A Pew Research Center survey published last year found 16% of parents of children aged 13 through 17 used monitoring tools on their phones to track them. But Mom and Dad can find themselves outfoxed. Ms. Spitler and others use programs such as Find My Friends, an Apple Inc. app that lets owners of iPhones, iPads and some other devices share their locations with specified contacts. Get your parents to sign on, and you can monitor their movements and shenanigans. Alexa McDonald of Columbus, Ohio, discovered that her parents fib a bit. The 24-year-old call-center dispatcher's app revealed that, while claiming to be stuck in traffic, they were sometimes at a restaurant. ""I never called them out on it, but inside in my head I was like, 'I'm hungry, I would have loved to have been included in that.'"" ""I guess we've done that,"" says her mother, Claudia McDonald of Mount Vernon, Ohio. One reason: ""Whatever the dish is, she always wants shrimp on it,"" she says. ""It's one of the more expensive things on the menu."" Apple declined to comment on children who monitor parents, other than to say Find My Friends lets users control what data is shared. Apple in promotional material says it might be used to ""notify you automatically when a friend arrives at the airport, a child leaves school, or a family member arrives home safely."" An app similar to Apple's, Life360, lets people agree to track each other on Android devices and iPhones. Children using it often set a 10-minute radius around their houses to get an alert when a parent is nearing, says Life360 CEO Chris Hulls. Between parents and children, he says, ""I would actually say it's almost equal in our situation about who is quote-unquote tracking who."" Jamie Barnhill, a senior at University of California, Davis, keeps an eye on her parents with Life360. One night at school, she saw they were just arriving home in Bakersfield, Calif. It was 1 a.m. ""I just remember seeing it and thinking, 'Wow, this is so sad. My parents were out later than I was,' "" she said. Her father, Terry Barnhill, says they likely had dinner and maybe saw a late movie or went out for drinks. ""It was perfectly legal,"" he says. ""Just because we're older adults, we're not confined to our homes."" Other apps on parents' phones work, too, as Joel Morton found. Mr. Morton, 22, a recent University of North Carolina graduate living at home near Charlotte, N.C., says when he helped his parents set up their iPhones about five years ago, he downloaded Find My iPhone, an app now included in Apple's operating system that helps an owner locate a misplaced phone. Because he knew the passwords to find his parents' phones, it dawned on him that ""I could use this whenever I need it."" When his parents left town once this year, he hosted friends overnight, setting an alarm for 8 a.m. to check their location. He saw they hadn't left the inn and went back to bed. Later, when he suddenly saw them on the move, ""I just frantically ran around trying to clean everything up, making sure everyone had left the house."" He says his parents weren't aware of his monitoring until he told them this week. Phone snooping exposed a parental ruse for a 25-year-old Houston medical assistant. Tired of her parents' unannounced visits to her apartment -- and lectures about the mess -- she followed them on Find My Friends. She says her parents once told her they were going to San Antonio, about 200 miles away, to celebrate their anniversary. Instead, ""we found out they went to a hotel like 30 minutes away."" She suspects they concocted the tale as an explanation for her younger sister, who was around 10 years old. ""I really just think they wanted their alone time."" For Ms. Spitler, the University of Alabama senior, tracking her parents not only helps her procrastinate on chores, it also eases her worries when they don't answer calls and texts. ""Sometimes I get a little creative with my imagination and I'm like, 'Oh my gosh, they've been abducted.'"" Her mother, Cynthia Spitler, says she knew her daughter monitored her. ""It really just kind of makes me laugh,"" the elder Ms. Spitler says. ""If they're mature enough to figure out these devious ways to get around what they're supposed to be doing, they're mature enough to step up and do what they're supposed be doing."" '"
10,Fri Sep 15 00:00:00 CST 2017,1,"'Good morning. Today is my last day filling in for Lara, and I'm going to make it count. Last week, Facebook found itself embroiled in an ongoing controversy after it disclosed it sold ads to fake accounts with ties to Russia during the U.S. election. This week, the social media giant is once again playing defense over its advertising practices. More below on the drama and response. TGIF. Not by the Book Facebook may have cleaned up the controversial feature that allowed advertisers to target people based on race, but the social network forgot to tell its algorithm not to generate offensive ad categories. ProPublica has found that marketers can target ads to custom groups of people on Facebook that include ""Jew hater"" and ""How to burn jews."" The anti-Semitic categories are created by an algorithm (not people) based on what users shares on Facebook and what's conveyed through their online activity. After the investigative news outlet found it could direct ads at the news feeds of almost 2,300 people who fell into such categories, Facebook said it would remove the categories and look for ways to better monitor categories before they are displayed to advertisers. ??Rough Week?? Facebook was busy updating its ad practices Thursday. Facebook had been allowing advertisers that promote news articles on the site to change the headlines and descriptions that appear with them. After CMO Today's Jack Marshall pointed to examples of story headlines that had been modified to subtly reposition coverage of a company or product, Facebook said it would stop allowing advertisers to modify the posts. ""ile they should be able to edit links pointing to their own material, they shouldn't be able to edit headlines on stories they didn't create,"" a Facebook spokesman said. Apple Season Six advertising trade associations, including the 4As, Association of National Advertisers and Interactive Advertising Bureau, have teamed up to protest Apple's latest move to block advertisers from collecting certain data that helps them target ads to Apple device users. Apple has said its new browser version, which will block access to ""cookie"" files stored on users' devices, is designed to better protect user privacy. The trade bodies argued it will make advertising more generic and less useful, resulting in a bad experience for consumers. Do consumers really like any kind of ads? Maybe once in awhile, but ad-blocking data would suggest that for the most part, it's a no. Also, it's unclear how much influence an angry ad trade association can have on a company like Apple that doesn't even have much of an ad business. Nonetheless, 'A' for effort. A Stream of Nominations Remember when it was a big deal that an Amazon show was even in the running for an Emmy? Now Hulu and Netflix have shows nominated for the night's biggest honor, Outstanding Drama Series. A win in the coveted category would be the first for a streaming service, shining a light on how much the TV business has changed in recent years. Speaking at an event hosted by the Paley Center on Thursday, Hulu CEO Mike Hopkins said a win for ""The Handmaid's Tale"" could help attract and retain new subscribers, as well as gain respect in the creative community. ""It lets creators know they have a shot,"" he told Wall Street Journal media editor Amol Sharma on stage. Still, as WSJ's John Jurgensen pointed out, if NBC wins for ""This Is Us,"" it will end an 11-year dry spell for broadcast TV. Either way, Sunday's Emmy Awards will be telling for a fast-changing business. Throwing Shade Competition is heating up among TV networks and new streaming services, but that doesn't mean the networks themselves aren't still at each other's throats. CBS Chief Les Moonves, speaking at the Goldman Sachs media conference Thursday, criticized Disney for investing in a streaming business versus growing one internally, and ESPN for not having enough hard-core sports content, according to the Hollywood Reporter. He also expressed confidence in CBS's ability to reach the growing number of cord-cutters who are shaking up the TV business. ??More from Goldman?? If anything, CBS has one less competitor to worry about on the news front. At the conference, Sinclair Broadcast CEO Chris Ripley squashed speculation that the company is planning to launch a national news network, according to WSJ's Joe Flint. Speaking at the same event, Verizon CEO Lowell McAdam said the wireless giant no longer wants to buy a cable company (WSJ reported in January that Verizon had explored a deal with Charter). The company also said it's cutting $10 billion in spending over the next four years and adopting zero-based budgeting??an approach that could have implications for everything from ad spend to investment in its new Yahoo-AOL group called Oath. Best of the rest Time magazine na""its digital editor, Edward Felsenthal, its new editor in chief??an acknowledgment that the company must boost its digital prowess during challenging times for print media. [WSJ] Trevor Noah may not be producing Jon Stewart-size ratings just yet, but he has passed at least one test. Comedy Central has renewed its deal with the ""aily Show"" host through 2022. [WSJ] Google is restricting the ads that appear when someone searches for a drug rehabilitation facility in an effort to limit misinformation that may cause them to select a treatment center that is not in a position to help them. [NYT] Amazon wasn't as flashy as Google and Facebook at global marketing and technology conference Dmexco, but it made its ""presence known"" as it ramps up on the ad and media front. [Digiday] Continuing on its mission to streamline and create more simplicity for clients, WPP has consolidated five small branding and design agencies??Brand Union, The Partners, Lambie-Nairn, Addison Group and VBAT??into one group. [The Drum] Comedy Central is ending its Snapchat Discover channel. At the same time, it's working with Snap to produce a show for the platform. [Busin'"
