,Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Aruba,ABW,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,AFG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,2.8,,,,,,2.2,,,
2,Angola,AGO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,23.4,,,,56.6,,,,,,,
3,Albania,ALB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,12.8,,10.8,,,,,,12.5,,,,
4,Andorra,AND,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
5,Arab World,ARB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,20.8454545454545
6,United Arab Emirates,ARE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
7,Argentina,ARG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,30.3,,,,38.0,,,,,,,57.8
8,Armenia,ARM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,11.5,,,,31.8,,,,25.3,,,,
9,American Samoa,ASM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,21.3,,,,,,,
11,Australia,AUS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
12,Austria,AUT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
13,Azerbaijan,AZE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,14.6,,,,10.8,,,,4.5,,,,
14,Burundi,BDI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,34.8,,,,,,,,44.0,,,
15,Belgium,BEL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
16,Benin,BEN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,45.4,,,,,,,36.7,
17,Burkina Faso,BFA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,23.3,,,19.2,,,,,,,,
18,Bangladesh,BGD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,16.1,,,,,,12.7,,,,
19,Bulgaria,BGR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,28.8,,39.2,,33.9,,,,39.0,,,,
20,Bahrain,BHR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
21,"Bahamas, The",BHS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,58.3,,,,,,,
22,Bosnia and Herzegovina,BIH,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,21.6,,,,32.8,,,,27.2,,,,
23,Belarus,BLR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,18.6,,,52.9,,,,,43.6,,,,
24,Belize,BLZ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,30.4,,,,,,,
25,Bermuda,BMU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
26,Bolivia,BOL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,41.1,,,,41.3,,,,,,,68.6
27,Brazil,BRA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,50.2,,,,,,,,
28,Barbados,BRB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,43.5,,,,,,,
29,Brunei Darussalam,BRN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
30,Bhutan,BTN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,31.3,,,,,,43.3,,
31,Botswana,BWA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,40.9,,,,55.3,,,,,,,
32,Central African Republic,CAF,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,53.3,,,,,,
33,Canada,CAN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
34,Central Europe and the Baltics,CEB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,37.136363636363605
35,Switzerland,CHE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
36,Channel Islands,CHI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
37,Chile,CHL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,27.8,,,,29.6,,,,,,,
