"	Year", Month,tas
1991,1,25.0624
1991,2,25.042
1991,3,25.7049
1991,4,26.5827
1991,5,27.1703
1991,6,26.7695
1991,7,26.4218
1991,8,26.2174
1991,9,26.079
1991,10,25.8228
1991,11,25.0634
1991,12,24.7757
1992,1,24.2994
1992,2,24.3593
1992,3,25.9921
1992,4,26.5917
1992,5,27.1698
1992,6,26.6284
1992,7,25.8633
1992,8,26.3112
1992,9,26.1235
1992,10,25.8687
1992,11,25.1814
1992,12,24.9968
1993,1,24.3363
1993,2,24.4748
1993,3,25.2055
1993,4,26.5456
1993,5,27.2267
1993,6,26.9813
1993,7,26.292
1993,8,25.9438
1993,9,25.8425
1993,10,25.7879
1993,11,25.9299
1993,12,25.1764
1994,1,25.0462
1994,2,25.1657
1994,3,25.8199
1994,4,26.7559
1994,5,27.1559
1994,6,26.489
1994,7,25.8323
1994,8,25.9222
1994,9,25.9059
1994,10,26.0301
1994,11,25.6441
1994,12,25.2797
1995,1,24.8595
1995,2,24.7267
1995,3,25.6924
1995,4,26.5177
1995,5,27.2161
1995,6,26.8454
1995,7,25.994
1995,8,25.8312
1995,9,25.7531
1995,10,26.0219
1995,11,25.6976
1995,12,24.8188
1996,1,24.3159
1996,2,24.3236
1996,3,25.8499
1996,4,26.1095
1996,5,26.6209
1996,6,26.5916
1996,7,26.0614
1996,8,25.9112
1996,9,25.9598
1996,10,26.212
1996,11,25.3253
1996,12,24.6385
1997,1,23.8851
1997,2,24.646
1997,3,24.9808
1997,4,26.2387
1997,5,26.7903
1997,6,26.5402
1997,7,26.1744
1997,8,26.3546
1997,9,26.0221
1997,10,26.2375
1997,11,26.0601
1997,12,25.5179
1998,1,25.1451
1998,2,25.596
1998,3,26.236
1998,4,27.3116
1998,5,27.5619
1998,6,27.0143
1998,7,26.8527
1998,8,26.8006
1998,9,26.1858
1998,10,26.1307
1998,11,26.1879
1998,12,25.6767
1999,1,25.1769
1999,2,24.7611
1999,3,25.8842
1999,4,26.3372
1999,5,26.7472
1999,6,26.0819
1999,7,26.0836
1999,8,25.8332
1999,9,25.8248
1999,10,26.0532
1999,11,25.6142
1999,12,25.1981
2000,1,25.0882
2000,2,25.2122
2000,3,25.8836
2000,4,26.3567
2000,5,26.9195
2000,6,26.1971
2000,7,25.9435
2000,8,26.1502
2000,9,26.0368
2000,10,25.9208
2000,11,25.8619
2000,12,25.5827
2001,1,25.3388
2001,2,25.4349
2001,3,25.8142
2001,4,27.2026
2001,5,26.9161
2001,6,26.6672
2001,7,26.0628
2001,8,26.0215
2001,9,26.3704
2001,10,26.2345
2001,11,25.2648
2001,12,24.5214
2002,1,24.8441
2002,2,24.6608
2002,3,25.9365
2002,4,26.5984
2002,5,27.2014
2002,6,26.7526
2002,7,26.0878
2002,8,25.861
2002,9,25.8333
2002,10,26.3392
2002,11,25.9193
2002,12,25.2948
2003,1,24.6071
2003,2,24.8161
2003,3,25.9374
2003,4,27.0158
2003,5,27.1333
2003,6,26.1644
2003,7,26.1539
2003,8,25.7554
2003,9,25.6997
2003,10,25.8195
2003,11,25.9808
2003,12,24.867
2004,1,24.7
2004,2,25.2011
2004,3,25.7706
2004,4,27.3095
2004,5,26.9828
2004,6,25.8422
2004,7,26.1212
2004,8,26.137
2004,9,26.221
2004,10,25.5317
2004,11,25.7399
2004,12,25.3897
2005,1,25.709
2005,2,25.2609
2005,3,25.5924
2005,4,26.5746
2005,5,27.2325
2005,6,26.432
2005,7,26.1891
2005,8,26.0623
2005,9,25.6853
2005,10,26.0524
2005,11,25.9691
2005,12,24.7431
2006,1,25.322
2006,2,25.2646
2006,3,25.8083
2006,4,26.8008
2006,5,26.7886
2006,6,26.6829
2006,7,25.9415
2006,8,25.9159
2006,9,26.1291
2006,10,25.7392
2006,11,26.0136
2006,12,25.6351
2007,1,25.0374
2007,2,25.2282
2007,3,25.9186
2007,4,26.7682
2007,5,27.3483
2007,6,26.8921
2007,7,26.4516
2007,8,25.8775
2007,9,25.8841
2007,10,25.9547
2007,11,24.8807
2007,12,24.9809
2008,1,24.9002
2008,2,24.2445
2008,3,25.3033
2008,4,26.3212
2008,5,25.972
2008,6,26.0809
2008,7,26.0991
2008,8,25.8148
2008,9,26.0973
2008,10,25.9945
2008,11,25.729
2008,12,25.1054
2009,1,24.1631
2009,2,25.1238
2009,3,26.0479
2009,4,26.0352
2009,5,26.3572
2009,6,25.8904
2009,7,25.7018
2009,8,26.3604
2009,9,26.1058
2009,10,25.6565
2009,11,25.4468
2009,12,24.4802
2010,1,24.4292
2010,2,25.205
2010,3,26.3029
2010,4,26.4178
2010,5,26.9169
2010,6,26.9849
2010,7,26.1373
2010,8,26.0527
2010,9,25.9984
2010,10,25.555
2010,11,25.4519
2010,12,24.8779
2011,1,24.0188
2011,2,24.39
2011,3,25.1628
2011,4,26.2574
2011,5,26.4992
2011,6,26.5435
2011,7,25.9196
2011,8,26.1981
2011,9,25.9278
2011,10,26.2814
2011,11,25.8915
2011,12,25.4277
2012,1,25.1376
2012,2,25.2905
2012,3,26.0784
2012,4,27.0891
2012,5,27.3828
2012,6,26.8056
2012,7,25.9058
2012,8,25.7422
2012,9,25.7386
2012,10,26.0479
2012,11,25.9627
2012,12,25.8297
2013,1,24.878
2013,2,25.3053
2013,3,26.114
2013,4,27.2347
2013,5,27.4858
2013,6,26.7444
2013,7,25.986
2013,8,25.9097
2013,9,26.1467
2013,10,25.6406
2013,11,25.7175
2013,12,25.3487
2014,1,23.6226
2014,2,24.4159
2014,3,25.3717
2014,4,26.6841
2014,5,27.3294
2014,6,26.7688
2014,7,26.3271
2014,8,26.1118
2014,9,25.8677
2014,10,25.9668
2014,11,25.9899
2014,12,25.2713
2015,1,24.42
2015,2,24.6113
2015,3,25.6617
2015,4,26.6576
2015,5,27.3524
2015,6,26.7908
2015,7,26.1908
2015,8,26.3425
2015,9,26.2869
2015,10,26.1807
2015,11,26.2489
2015,12,25.7903
